SongId,SongName,Artist,Language,Album,Composer,Release Date,Path,TotalFrequency
song27,Baaton-Ko-Teri(PaglaSongs),Arijit Singh,Hindi,Bollywood Top Songs (2020),Himesh Reshammiya,,src/main/resources/songs/Baaton-Ko-Teri(PaglaSongs).mp3,943
song47,Chandi Kori,Mattuda Ponnu,Tulu,Mattuda Ponnu,Mattuda Ponnu,,src/main/resources/songs/Chandi Kori Mattuda Ponnu.mp3,941
song8,Mungaru Maleye - PagalWorld.NL,Sonu Nigam,Kannada,Mungaru Male (2006) | PagalWorld.NL,PagalWorld.NL,,src/main/resources/songs/Mungaru Maleye.mp3,936
song49,Roar,"Katy Perry,",English,"Katy Perry,","Katy Perry,",,src/main/resources/songs/Roar---Katy-Perry(pagolworld.nl).mp3,933
song61,DS,Dileep,No Idea,Sharma Songs,Sharma Films,,src/main/resources/songs/DS.mp3,922
song28,O Priya O Priya,"Kamal Khan, Kumar Sanu, Alka Yagnik & Nitin Mukesh",Hindi,Bollywood Top Songs (2020),Himesh Reshammiya,,src/main/resources/songs/O-Priya-O-Priya(PaglaSongs).mp3,921
song1,Kunnidu Kunnidu Baare - PagalWorld.NL,"Udit Narayan, Sunidhi Chauhan, Stefen",Kannada,Mungaru Male (2006) | PagalWorld.NL,PagalWorld.NL,,src/main/resources/songs/Kunnidu Kunnidu Baare.mp3,920
song3,Sanchariyagu Nee - PagalWorld.NL,"Vijay Prakash, Rakshita Suresh, Nakul Abhyankar",Kannada,Love Mocktail 2 (2021) | PagalWorld.NL,PagalWorld.NL,,src/main/resources/songs/Sanchariyagu Nee.mp3,893
song10,Neenaade Naa - MyMp3Bhojpuri.In,"Armaan Malik, Shreya Ghoshal | MyMp3Bhojpuri.In",Kannada,Yuvarathnaa (2021) | MyMp3Bhojpuri.In,MyMp3Bhojpuri.In,,src/main/resources/songs/Neenaade Naa.mp3,885
song21,Tumse Bhi Zyada_64(PagalWorld.com.se),"Arijit Singh,",Hindi,Bollywood Movie Song 2021,PagalWorld.NL,,src/main/resources/songs/Tumse Bhi Zyada.mp3,874
